costo,nombre,precio_venta,referencia_interna,unidad_medida,categoria_producto,archivo_imagen,imagen_url
174.0,08 RU RACK PARA PARED,280.0,,Unidades,GABINETES,08_RU_RACK_PARA_PARED.jpg,http://localhost:3000/uploads/08_RU_RACK_PARA_PARED.jpg
286.90000000000003,1 BTN 2MP IP VIDO PRTR,360.0,HK-DS-KD8003-IME1,Unidades,VIDEO PORTERO,HK-DS-KD8003-IME1.jpg,http://localhost:3000/uploads/HK-DS-KD8003-IME1.jpg
1515.0,1.5KW FOXESS-MICROINVERSOR  SOLAR MONOFASICO - S1500-G2,1980.0,S1500-G2,Unidades,MICROINVERSOR,S1500-G2.jpg,http://localhost:3000/uploads/S1500-G2.jpg
0.0,100/15 MPPT BLUESOLAR CONTROLADOR,763.0,,Unidades,CONTROLADORES,100_15_MPPT_BLUESOLAR_CONTROLADOR.jpg,http://localhost:3000/uploads/100_15_MPPT_BLUESOLAR_CONTROLADOR.jpg
625.16,100/50 MPPT BLUESOLAR,980.0,100 / 50,Unidades,CONTROLADORES,100_50.jpg,http://localhost:3000/uploads/100_50.jpg
736.0,"100/50 SMART SOLAR MPPT VICTRON ENERGY - conectividad Bluetooth integrada,",1100.0,,Unidades,CONTROLADORES,100_50_SMART_SOLAR_MPPT_VICTRON_ENERGY_-_conectividad_Blueto.jpg,http://localhost:3000/uploads/100_50_SMART_SOLAR_MPPT_VICTRON_ENERGY_-_conectividad_Blueto.jpg
225.0,1000W 12V – 220V ONDA MODIFICADA SOLTRONIX.,580.0,KS1000M,Unidades,INVERSORES,KS1000M.jpg,http://localhost:3000/uploads/KS1000M.jpg
4756.900000000001,10KW - FOXESS - MICROINVERSOR MONOFASICO G-10000,5450.0,,Unidades,MICROINVERSOR,10KW_-_FOXESS_-_MICROINVERSOR_MONOFASICO_G-10000.jpg,http://localhost:3000/uploads/10KW_-_FOXESS_-_MICROINVERSOR_MONOFASICO_G-10000.jpg
5251.0,10KW FOXESS MICROINVERSOR SOLAR TRIFASICO T-1000-G3,6100.0,,Unidades,MICROINVERSOR,10KW_FOXESS_MICROINVERSOR_SOLAR_TRIFASICO_T-1000-G3.jpg,http://localhost:3000/uploads/10KW_FOXESS_MICROINVERSOR_SOLAR_TRIFASICO_T-1000-G3.jpg
15.0,10mm² CABLE DE PANEL X 1 METRO - ROJO Y NEGRO,21.72,,m,CABLES PARA PANEL SOLAR,10mm_CABLE_DE_PANEL_X_1_METRO_-_ROJO_Y_NEGRO.jpg,http://localhost:3000/uploads/10mm_CABLE_DE_PANEL_X_1_METRO_-_ROJO_Y_NEGRO.jpg
